comparison,mean,median,std,group,dataset_name
between,26.804441644479844,26.0,10.22249327994426,clade_membership,seasonal-flu-h3n2-ha-2016-2018
within,9.87111275552678,9.0,4.689083191083265,clade_membership,seasonal-flu-h3n2-ha-2016-2018
between,28.05975841221589,27.0,9.676702364281148,pca_label,seasonal-flu-h3n2-ha-2016-2018
within,11.1958162388702,11.0,5.266257494683079,pca_label,seasonal-flu-h3n2-ha-2016-2018
between,27.93371868854156,26.0,9.626089638292298,mds_label,seasonal-flu-h3n2-ha-2016-2018
within,10.421815009479715,10.0,4.631112415063277,mds_label,seasonal-flu-h3n2-ha-2016-2018
between,26.59569767991305,26.0,10.262339249604189,t-sne_label,seasonal-flu-h3n2-ha-2016-2018
within,9.106691623771642,9.0,4.061476416953875,t-sne_label,seasonal-flu-h3n2-ha-2016-2018
between,27.03530340128785,26.0,10.195254934210856,umap_label,seasonal-flu-h3n2-ha-2016-2018
within,10.811896379082013,10.0,5.446424150596052,umap_label,seasonal-flu-h3n2-ha-2016-2018
between,41.817212533853045,38.0,17.962954162365072,clade_membership,seasonal-flu-h3n2-ha-2018-2020
within,9.07020392001584,9.0,4.129796352758433,clade_membership,seasonal-flu-h3n2-ha-2018-2020
between,44.44037389581288,40.0,16.549342411454894,pca_label,seasonal-flu-h3n2-ha-2018-2020
within,10.7887673261793,10.0,5.246334126821668,pca_label,seasonal-flu-h3n2-ha-2018-2020
between,43.23207370869514,39.0,17.09172723418074,mds_label,seasonal-flu-h3n2-ha-2018-2020
within,9.564426147826868,9.0,4.542793429675028,mds_label,seasonal-flu-h3n2-ha-2018-2020
between,42.963414980957154,39.0,17.230546821420713,t-sne_label,seasonal-flu-h3n2-ha-2018-2020
within,9.342378454419878,9.0,4.385371809002697,t-sne_label,seasonal-flu-h3n2-ha-2018-2020
between,42.87620968799448,39.0,17.345699108783283,umap_label,seasonal-flu-h3n2-ha-2018-2020
within,9.559078692205627,9.0,4.619820353987725,umap_label,seasonal-flu-h3n2-ha-2018-2020
between,52.62120724379293,50.0,17.461483780312808,MCC,seasonal-flu-h3n2-ha-na-2016-2018
within,25.03519395094363,18.0,20.824024544878867,MCC,seasonal-flu-h3n2-ha-na-2016-2018
between,49.03775789707037,45.0,17.646502082489178,pca_concatenated_label,seasonal-flu-h3n2-ha-na-2016-2018
within,21.23224366722899,21.0,9.176271138084312,pca_concatenated_label,seasonal-flu-h3n2-ha-na-2016-2018
between,46.55477667234857,43.0,18.296165389636226,mds_concatenated_label,seasonal-flu-h3n2-ha-na-2016-2018
within,20.15751214404641,15.0,15.433420831086393,mds_concatenated_label,seasonal-flu-h3n2-ha-na-2016-2018
between,47.26407165506307,43.0,18.0524801799966,t-sne_concatenated_label,seasonal-flu-h3n2-ha-na-2016-2018
within,16.530859919452336,16.0,6.823419674837644,t-sne_concatenated_label,seasonal-flu-h3n2-ha-na-2016-2018
between,48.764280944914695,45.0,17.634841931563823,umap_concatenated_label,seasonal-flu-h3n2-ha-na-2016-2018
within,21.2107974170994,20.0,10.580981662906307,umap_concatenated_label,seasonal-flu-h3n2-ha-na-2016-2018
between,43.2813627422195,43.0,17.682357112079195,Nextstrain_clade,sars-cov-2-2020-2022
