mae,components,method,recombination_rate,replicate,train_test_split,perplexity,learning_rate,nearest_neighbors,min_dist
8.66195629587928,2.0,pca,no-reassortment,1,0,,,,
8.388882842946998,3.0,pca,no-reassortment,1,0,,,,
8.166241629962887,4.0,pca,no-reassortment,1,0,,,,
7.838595440186361,5.0,pca,no-reassortment,1,0,,,,
7.700720117278033,6.0,pca,no-reassortment,1,0,,,,
7.729436946877901,7.0,pca,no-reassortment,1,0,,,,
7.44385255823273,8.0,pca,no-reassortment,1,0,,,,
7.200237843838185,9.0,pca,no-reassortment,1,0,,,,
7.25073287976959,10.0,pca,no-reassortment,1,0,,,,
5.02180488376642,2.0,mds,no-reassortment,1,0,,,,
3.935631063987291,3.0,mds,no-reassortment,1,0,,,,
3.3120303582472763,4.0,mds,no-reassortment,1,0,,,,
2.836726324262168,5.0,mds,no-reassortment,1,0,,,,
2.533226657110834,6.0,mds,no-reassortment,1,0,,,,
2.3045250491544222,7.0,mds,no-reassortment,1,0,,,,
2.112615468439626,8.0,mds,no-reassortment,1,0,,,,
1.93673301437246,9.0,mds,no-reassortment,1,0,,,,
1.8405289628622847,10.0,mds,no-reassortment,1,0,,,,
10.000899059397817,,t-sne,no-reassortment,1,0,15.0,100.0,,
9.719353344543205,,t-sne,no-reassortment,1,0,15.0,200.0,,
10.20258201321521,,t-sne,no-reassortment,1,0,15.0,500.0,,
9.329547839393571,,t-sne,no-reassortment,1,0,30.0,100.0,,
9.289426109931275,,t-sne,no-reassortment,1,0,30.0,200.0,,
9.292941114459918,,t-sne,no-reassortment,1,0,30.0,500.0,,
8.435817144052919,,t-sne,no-reassortment,1,0,100.0,100.0,,
8.167501687485778,,t-sne,no-reassortment,1,0,100.0,200.0,,
8.84307674393416,,t-sne,no-reassortment,1,0,100.0,500.0,,
9.557759369113214,,t-sne,no-reassortment,1,0,200.0,100.0,,
9.323224688230724,,t-sne,no-reassortment,1,0,200.0,200.0,,
10.0810115956388,,t-sne,no-reassortment,1,0,200.0,500.0,,
11.073319448993496,,t-sne,no-reassortment,1,0,300.0,100.0,,
10.758240975121147,,t-sne,no-reassortment,1,0,300.0,200.0,,
11.252264930684811,,t-sne,no-reassortment,1,0,300.0,500.0,,
10.81494128882859,,umap,no-reassortment,1,0,,,25.0,0.05
9.759870865620895,,umap,no-reassortment,1,0,,,25.0,0.1
10.1789203000372,,umap,no-reassortment,1,0,,,25.0,0.25
10.607817379474136,,umap,no-reassortment,1,0,,,50.0,0.05
10.13774274218867,,umap,no-reassortment,1,0,,,50.0,0.1
10.368724699577625,,umap,no-reassortment,1,0,,,50.0,0.25
10.429959435644022,,umap,no-reassortment,1,0,,,100.0,0.05
10.59176464706199,,umap,no-reassortment,1,0,,,100.0,0.1
11.47173768136355,,umap,no-reassortment,1,0,,,100.0,0.25
8.356674442643081,2.0,pca,no-reassortment,1,1,,,,
7.446871062760567,3.0,pca,no-reassortment,1,1,,,,
7.155850676170775,4.0,pca,no-reassortment,1,1,,,,
6.988004582996801,5.0,pca,no-reassortment,1,1,,,,
6.910023961105727,6.0,pca,no-reassortment,1,1,,,,
6.940702636627885,7.0,pca,no-reassortment,1,1,,,,
6.9716497914264925,8.0,pca,no-reassortment,1,1,,,,
6.701206641885031,9.0,pca,no-reassortment,1,1,,,,
6.479996533768897,10.0,pca,no-reassortment,1,1,,,,
5.200355098615394,2.0,mds,no-reassortment,1,1,,,,
3.9842412001103336,3.0,mds,no-reassortment,1,1,,,,
3.3318134230915253,4.0,mds,no-reassortment,1,1,,,,
2.895593742441961,5.0,mds,no-reassortment,1,1,,,,
2.5813615643018526,6.0,mds,no-reassortment,1,1,,,,
