strain,mds1,mds2,mds3,mds4,mds5,mds6,mds7,mds8,mds9,mds10,mds_label
A/Sydney/19/2018,-6.3334621587371345,13.984594212937447,3.3620084536406196,18.931056355925726,2.096447400498673,-22.737685997770086,-12.17908976261154,-29.064013830409685,10.234008525585795,22.749829420085785,-1
A/Italy/7413/2018,-5.932563002437949,11.992126247123409,-1.4076517582325867,10.939357693633156,4.883420027258873,-21.337588594565634,-11.811965869607889,-26.51309315029677,7.0397253453387965,22.018264673897225,-1
A/Homosapien/China/LS203/2018,-5.747683747492465,9.265401088108277,-0.3744842148367223,11.633560031754863,7.468774178918093,-25.975118311374437,-16.806005523569354,-25.848647825584752,4.462787617455537,23.58074276373286,-1
A/SouthKorea/7184/2018,-3.199120578285993,12.068310156925332,1.3232274656605147,15.949101835334496,7.775646394982518,-24.718230031300173,-15.132960184730718,-33.21921006923749,3.753093568053182,24.320518145778433,-1
A/Alaska/46/2018,9.156584696657278,7.295105360705038,9.281520220496343,-11.20052090743766,-13.446436318742295,2.8415290370308397,-16.90599203433027,-2.8356794931380866,2.587910519344898,6.4508965964933065,1
A/Brisbane/10/2018,9.006738936303133,8.812968081959324,9.759138428253618,-10.130029575070768,-12.880276035943202,2.106657972731647,-17.590265392125843,-2.1733143132157577,2.2999661461983023,9.25949192257179,1
A/Newcastle/22/2018,9.157595091992714,7.418578024671671,7.2790210651914835,-12.466184748410793,-13.277916572506053,2.6029985522666794,-17.059398537440163,-2.9510209995602525,2.6041422299685903,6.354035945681247,1
A/Brisbane/23/2018,9.438277710284225,8.304461004107255,7.994769924165841,-11.987490126176354,-13.152271307939316,3.316975303663232,-16.445879136351977,-2.6732679218271445,1.9804420366514754,6.958727873205016,1
A/Newcastle/7/2018,10.455550110300846,6.10962978186886,8.498675331726833,-11.30192626588116,-16.9632013063886,1.5927018555155554,-18.098254585295358,-2.6077846682576173,1.8428523525553422,7.361421479061419,1
A/Victoria/2036/2018,9.004490445543366,9.595326862918823,7.514067400330698,-12.532996983460945,-14.80229353624496,4.696521273728906,-16.37257151752817,-2.3044745129899367,1.7483364034271067,7.102346629036118,1
A/Victoria/901/2018,10.853602859854169,12.47672743061401,4.533177989277877,-16.4334827201816,-15.577145880568706,8.028458529387906,-18.5789375409465,-1.1882398869810797,1.914496823828366,7.866748033233833,1
A/SouthAustralia/11/2018,7.832107661993236,9.585046023041913,8.171843933599394,-7.190877813341365,-14.236901122999935,4.375497972536466,-14.38241701277617,-9.373046829841407,3.7393544690624974,8.47262431123598,1
A/Brisbane/55/2018,10.576690235265582,6.895841910092484,6.076606486514434,-10.375501263023779,-10.042842015940947,2.255594188857152,-15.18840872423418,-8.742899953867155,3.2476761346617082,8.54765940340602,1
A/Hawaii/65/2018,15.955770814483328,5.828998979498706,10.664029092409644,-11.088799347595687,-20.830713830301335,2.6117888796508866,-18.90857993897952,-2.6836056273963806,3.9447560173596656,5.518000771992883,1
A/Sydney/1038/2018,16.185466532742783,5.785144485982121,10.701584592470516,-10.933126374223502,-20.366402572132326,2.019975196352574,-19.378533295298546,-2.915738423898386,4.231831437771512,5.51968105178199,1
A/Wisconsin/497/2018,16.23268614086354,5.215915260886738,9.897582634312101,-11.689069981708787,-22.048663539767844,1.8823853860571065,-19.8738721603349,-3.0238192136858064,4.109531990360747,5.715468542856501,1
A/Brisbane/57/2018,10.116989604462297,6.845642504030107,7.77530429278283,-11.14250618441273,-12.110908833821739,5.198179458537483,-17.50110135106999,-1.7195337820961418,4.774355584205037,8.632202676329563,1
A/Brisbane/36/2018,9.655947614793332,6.074517053915856,9.258061975686008,-12.784630998664957,-13.415759853470549,2.269649796435497,-17.18485698643093,-1.4008058963486305,1.7126423503259267,7.946196261547677,1
A/Brisbane/40/2018,10.07574310064931,7.82706236248882,6.613749254798707,-11.608309080627677,-14.639083059908508,2.9657026817675134,-17.16413183128534,-2.626368335733211,1.6639080138794375,9.086565887980981,1
A/Michigan/77/2018,6.399523687925689,12.605500444798437,13.613968585623322,-8.4098909521775,-18.89835017004914,5.850144025110728,-23.50461043797081,-1.1553324028250438,3.099616250879398,8.051139827791827,1
A/Victoria/2020/2018,8.562513662347666,8.33919663327676,7.501319765593561,-15.26970259938444,-12.950244671750779,2.300952572513712,-23.337609018475305,-1.6851622110613498,4.332899437213512,4.565432848135278,1
A/Brisbane/17/2018,10.00769905437575,8.685545397103317,7.913418132575521,-14.172367863329272,-15.127198138633512,3.3007163616711757,-14.199958602756643,-1.3849942772856014,3.7598568543185413,8.886958313126131,1
A/Florida/55/2018,13.082848359453402,10.078923918463786,2.383985595222603,-13.962571204139191,-7.728497071324017,4.202286086420059,-21.708759294051198,-7.724576405977754,6.610971765252794,9.394870616841002,1
A/Hawaii/43/2018,7.21245147592284,10.912868473084043,5.933794535208713,-13.344090510432775,-14.347419511445898,4.016528729445996,-20.84004532001042,-2.0050941385801644,3.248241788007656,7.577960363666314,1
A/Connecticut/32/2018,8.255969641064588,10.332145778747176,6.156815447097187,-12.911502136201973,-12.862937154516947,6.17668314373608,-13.36626502682775,-9.091853146889797,3.1729010353120017,5.014176526261358,1
A/SouthAustralia/13/2018,10.138575257891215,9.608122381908489,3.1521202841386575,-15.977765583087471,-10.270949967707205,9.903306429536885,-11.357394156736515,-12.115643024414387,-3.6306630918136076,10.422600496193235,1
A/Sydney/93/2018,8.256559087671192,5.426329702335954,10.408567674676043,-13.924572155590456,-12.823485682396528,7.679132390683873,-16.7046583448459,-9.316119811144398,-9.570410973586212,12.414869177560265,1
A/SouthAustralia/97/2018,6.38303397009709,9.996647496649798,10.294376439108635,-14.73330280580768,-13.488021887295508,11.387691526500298,-19.84114311408698,-7.69247097135449,-9.672474875787794,13.681497141751787,1
A/Brisbane/1000/2018,12.654364931764784,5.375602624159555,14.95393995208585,-8.82863527685597,-10.852678477072859,8.224778431964873,-10.617944674412321,-11.605704795322586,-3.767446726666745,5.124977903265059,1
A/Sydney/17/2018,9.69201230687284,6.285999402500648,11.372786980868044,-11.137838683104158,-8.393038950981035,7.775113627556678,-12.914378947751104,-9.240312697519023,-3.5171717322737743,4.730206054588712,1
A/Indiana/28/2018,14.697534576222376,7.620958256693378,12.621148598169725,-13.339847944276505,-10.634859318558405,12.166823562861385,-12.752765469349384,-14.79766329133208,-5.72126771743581,4.802323960246813,1
A/Brisbane/32/2018,8.716783937680164,7.554062136348187,9.643017522310611,-16.90249070691667,-13.529873945469141,2.9519284953862663,-18.396600396827555,-0.5033300789375116,1.0167614681128927,6.0924757744925815,1
A/Canberra/9/2018,14.568121635804,7.185830989746645,11.969398426181016,-14.579337510037544,-12.326681110038093,0.799382201518185,-17.753568357707113,1.1874161954978348,1.0828145105181968,11.082044687052871,1
A/NewJersey/35/2018,11.262535460404353,9.7508831671796,9.291071897507665,-12.809631586927186,-12.04121943545795,2.2583026938976847,-19.708460947403523,1.4643639645326831,2.3253641915762113,11.747384778286763,1
A/Arizona/37/2018,18.410760149281497,6.8325882522453,4.277205462978928,-11.36858246845838,-12.491847231918213,3.341984854082292,-13.919458432362285,-12.45133655154571,4.47591353854499,3.9390414366569972,1
A/Hawaii/45/2018,13.240149802322318,13.325068220238062,3.9863266240509767,-11.298841581300849,-22.567076817721976,8.227587822068774,-18.06566692207598,-3.437500415794613,1.775860977512836,12.380642326335131,1
A/NewJersey/38/2018,13.863405475634154,10.219382296347868,4.903732438848328,-12.5512631665052,-12.378427122839211,3.496962315136481,-17.438739907888895,-0.7592733592094822,1.8284799683458424,6.024221648385935,1
A/Brisbane/45/2018,-4.459645738795965,-4.731458349350367,13.876812739155097,-4.224607824617096,-9.450588933321677,0.8817788774400686,-12.536337589508403,-6.895067760998919,-7.815342546206828,18.364430385377158,1
A/Nebraska/08/2018,2.2274110111071073,-1.289888616472212,10.073537083443393,-13.119223688194008,-13.583006717498167,2.6418886541448425,-11.729328441704716,-12.101132667910974,-1.210881592447312,7.440087011107892,1
A/Ohio/22/2018,1.3845181717433621,-0.7627444045197094,10.4735079068358,-12.93707157423906,-13.909981758737578,3.048746448971783,-11.722701906614533,-12.043062565405663,-0.5210566343970261,6.939934962054995,1
A/SouthAustralia/10/2018,-1.1975123141676542,1.770895006315889,6.64518214461568,-10.162144558332523,-14.324120916385258,7.8025531484686805,-11.249089756569804,-12.292521082160748,4.071413873899775,9.673982265630169,1
A/Brisbane/73/2018,-5.179663882697093,-0.8431487507797253,8.644676009598939,-13.655270162057146,-9.673157708137749,5.161370858249247,-22.76472841606778,-14.642843002421712,-0.6699977713113975,0.474127768507028,1
A/Brisbane/85/2018,-6.716856115882135,-0.772001685964705,9.86062672778065,-13.47658696657035,-11.408007410532406,6.387534890414768,-24.026107566577824,-15.848334749108169,-1.1827508215541638,-0.35510009430549694,1
A/Brisbane/89/2018,-6.8271258648017525,-0.872900912153332,9.105150270812793,-14.002156756034532,-11.732335388548632,6.529562506003386,-23.803512893351453,-15.905973523012781,-1.595554942766534,0.048015006052871706,1
A/Newcastle/14/2018,4.178209208101923,-11.032151923462017,-14.822523847772809,-16.849464909677835,-3.3620831100035167,7.046412770808867,-17.606472476174574,-11.867673076207378,-8.183093183177025,16.868669822650492,1
A/Sydney/3/2018,5.630875162546953,-8.912281327549271,-13.244831526894071,-10.763637254193394,-13.828838667844948,7.507724586024526,-10.355027185217235,-14.092899282860422,-3.549294122538585,14.439907385323568,1
A/Florida/96/2018,14.443940298324778,15.201154922808337,7.6381876636814345,-21.967914383430383,-11.410462903740823,8.289908753997988,-30.492649729376062,2.0036229962689265,0.08476563738717133,2.621422588764631,1
A/England/7126/2018,8.038112350534346,7.092608086345977,7.68139484285832,-10.514084472364923,-10.562663816479308,3.3147692012130743,-13.5316117269708,-6.089261563148522,2.2166718833513515,6.696739150725653,1
A/England/7335/2018,10.929040552583333,10.151233975570943,7.941160425084956,-9.880929264766936,-12.828216039796699,6.290269471209486,-11.881615050146229,-8.828733552306804,2.9224342101513656,8.020144955944122,1
A/Japan/FDX70336/2018,14.073774573263929,6.29500344659337,7.02324046324956,-13.691503940049396,-7.376201871934059,1.6377327830675232,-15.202299897538362,-9.026379367742214,3.832146416218047,8.433453313059763,1
A/Spain/7259/2018,8.029852264924363,7.100263929835355,7.790196865018677,-12.191822045130955,-10.750421726252352,2.583509994396259,-12.651300360685672,-6.57479902569444,3.7005440452277814,6.412773264165648,1
A/England/7400/2018,10.411832814038286,7.520435084917481,8.660024380668828,-10.96770831949716,-13.252290093119724,2.5607654538441866,-16.539327878582487,-2.8688071140228195,2.67173205250938,7.051931936258121,1
A/Japan/NHRC_FDX70352/2018,9.966157845776934,7.5937996174294415,8.135769264349731,-11.714715818268317,-11.556296072730264,5.493803265390356,-19.0555211562002,-1.2905754152876308,6.138760007977935,7.906443420164156,1
A/Germany/7133/2018,8.972187936736008,8.252962748420352,8.480486626334578,-11.59456388635999,-12.76283248159197,2.996760735343144,-17.18420508674991,-2.7902474792940555,3.5778198360004563,6.2024765149325525,1
A/Germany/7344/2018,9.298357627822742,10.68711281322138,10.427511308979142,-12.210413291547132,-12.899058769038618,3.8568826802001395,-18.403843065137863,-2.1047588258956487,4.348336964418551,4.563131641497446,1
A/Germany/7360/2018,9.725700648201578,12.89247010663708,10.994061873637198,-12.838199585174909,-13.348711240294227,5.123567061855449,-19.814098120241983,-2.085182534473798,5.380408997479313,3.5062404626179347,1
A/California/FDX22060/2018,9.688432130711384,7.627819453964597,8.143086203493304,-11.686656142236703,-11.956974849066615,3.3365928367840536,-17.206540751911675,-2.4680439417273883,3.1291731059178702,7.193782956979541,1
A/Spain/7191/2018,9.487870892302855,7.665719235014648,7.369818545233967,-11.310582816297698,-13.821714308338068,2.85996990494114,-16.508803753280407,-3.171981542249992,2.93429950782709,7.539001908731627,1
A/SouthKorea/8204/2019,17.720690868572426,3.892473169687504,11.466988063852847,-10.959277839439068,-20.24165789157566,5.118156797197277,-20.343762380430768,-1.2059064958906567,6.808231354573363,5.832181163255835,1
A/Guam/7699/2018,20.567804536586255,5.563865941235058,10.854117192155657,-12.156068817157253,-24.287803741627,1.8997055383972987,-22.47254379249126,-2.7282115569798613,4.275747173966792,5.150194986381707,1
A/Guam/7833/2019,19.59015220283542,6.26557144656062,11.199249362156978,-11.469578868804042,-23.928928759805203,2.364972207976619,-21.307418120572358,-3.2819120865451095,4.833803493265739,4.696878911144307,1
A/Guam/7222/2018,13.630121817645348,10.556274199249174,8.762776963722942,-15.315240774968878,-12.142383465401283,-3.269393927293466,-24.019895147165073,-3.4476615002505837,2.0262307216560176,2.3476500337397987,1
A/Guam/7362/2018,9.987671799015251,9.84616232945627,7.2869846695697325,-11.057144865367011,-13.627603229435184,-0.3713803496214062,-19.171204419317895,-3.813049895421002,1.151705238815455,5.028508495028209,1
A/Germany/7402/2018,12.111251384982536,8.282778358972056,9.703837833089208,-14.539312774122202,-10.97309853338552,2.118035401857607,-17.19868953211422,-1.0252751753472555,2.4756946702645424,7.102495537789003,1
A/Italy/7152/2018,9.105365064128486,4.877095640969148,10.929242683910562,-8.025918785344459,-12.324817892743448,9.818846809165253,-15.186705924622142,-7.299781206037402,2.3707545517339845,13.303699461475086,1
A/England/7127/2018,10.090638531266963,9.826255021948816,11.359464670074411,-7.649431724071348,-14.046750352035183,6.492775683083202,-13.262654905875209,-10.13918851779599,5.381970411136606,6.067007824184861,1
A/Germany/7218/2018,11.233751142566316,6.496377520421632,10.307568665694312,-9.602597501744135,-10.309737812496325,3.247293478437352,-14.041884594155874,-8.158557511074422,3.8757347049243087,6.322004236102961,1
A/England/7014/2018,12.739538335618397,7.53534008832192,3.608152721411396,-13.70927270335272,-9.953293158203637,3.1682409088051697,-15.66735251842237,-10.806633064785535,3.525685940690003,7.255443193520579,1
A/Italy/7027/2018,11.52809294283611,6.061647905051942,12.02580075900519,-15.135849654293102,-7.579895021105373,8.711329150242358,-14.441058871086014,-10.73884987432208,-4.6216110220718996,3.0897403815352784,1
A/Spain/7044/2018,6.091345466262235,10.768282621485838,12.012842585096804,-11.700405358936878,-7.346315121219292,10.385433820619877,-16.322922593584092,-11.457041776990115,0.9689819027208156,8.003163309376752,1
A/Germany/6943/2018,10.135208995995885,11.050174060200865,9.225141511645862,-10.531165089935701,-8.063042146959168,5.302468594438156,-16.85810088037894,-9.713045373851664,6.8646259285103275,4.890364292178598,1
A/Italy/8443/2019,6.763733001742728,10.84191333124286,3.6786514852572956,-13.274116220331939,-21.3410091734001,4.447571565635245,-20.626950067644817,1.981134996185105,-0.11273077303173769,11.771398117019409,1
A/Japan/7159/2018,-5.578265720151135,-2.996524854015021,11.390780468404929,-9.160872758051616,-2.1004654895071044,0.3316823097766323,-17.38204281716619,-3.3121918788231812,-7.480438645006867,17.740250786553368,1
A/England/7211/2018,2.9889855905944653,2.882910798358087,7.97039394461662,-10.817066177298003,-8.240438496239753,1.9324548730258675,-11.457245081214138,-7.918901016476499,1.8139735419066845,8.328280248236428,1
A/Japan/FDX70344/2018,14.7341644967968,6.205332223946534,16.337446182380116,-15.068939338558819,-2.4676053497016004,6.198581680823594,-18.38167072852594,-11.81845954218383,1.6228650015849966,5.178695700106024,1
A/SouthKorea/8668/2019,7.540867908255341,12.072163204327138,10.425823681860823,-11.54359012304007,-19.34189607811434,4.037958998907175,-19.88831140378538,-1.456591295924346,11.218410897221165,6.297330093066711,1
A/Italy/9367/2019,15.374939282074294,14.437130504983749,14.023418548495027,-9.799429979749496,-13.504451404362836,8.497996304631624,-22.851112188631248,2.2663210825555717,1.674510841830818,11.919343691355706,1
A/Pernambuco/9511/2018,2.340325581894679,-2.929463123093726,12.222114807176837,-12.17103712024262,-5.9731593396540426,7.991728504464235,-13.966374442186966,-9.96606739179052,9.240909158258557,11.953960600212483,1
A/Santiago/PUC-MVL_012/2018,8.64066891023938,6.921198457943824,9.028861229980071,-11.761981556367987,-9.660219389259161,2.576899144079984,-12.808763349955592,-5.470989173067732,2.2252291190707556,7.974733813565292,1
A/Santiago/PUC-MVL_025/2018,6.010282774518799,-5.0248188202907365,15.705334740174369,-12.386338112280242,-8.218362258681163,0.4611321188980228,-19.96359118656726,-13.384366931296473,1.2168511752470919,2.757546891418452,1
A/Santiago/PUC-MVL_042/2018,4.785403795832118,-2.2536552336286855,10.485590315715935,-12.814403625705681,-6.955117839098215,0.49217549704014113,-16.81489211305288,-10.078235886101142,0.5035568364869978,5.988905717218269,1
A/Santiago/PUC-MVL_022/2018,-1.9753668990770825,0.5848101649139619,-10.276081217755621,11.444389000334672,0.14637945051251897,-3.509432212890271,6.92590795357078,2.489410407074425,-3.5669095619440268,-12.43739926620905,2
A/Santiago/p003d0/2018,-0.3670001095121202,5.309314569651311,-14.991404015793055,14.15753126888274,-1.9860298224886108,-0.7044680629130433,10.636932847338988,2.125927372517462,-4.900435926260759,-13.111679514583557,2
A/Santiago/p016d0/2018,-4.530531532950444,1.4442660819172592,-10.37419803033777,11.257146138366236,-0.5531443664020962,-2.1746864933949803,6.925295940452571,3.5763219268399773,-5.717017975861808,-10.85531333788165,2
A/Newcastle/4/2018,-2.277836148045301,-1.4834889547392127,-6.445273131533968,8.252313152690737,3.7046121508548726,-1.3035331364673695,3.9659653074496863,1.9664424449171642,-4.147195548058239,-8.136792370864505,2
A/SouthAustralia/12/2018,-3.814038628842286,-0.7335723354604938,-5.571934572980722,10.562953721227416,5.4075840556572325,-4.020239628668814,5.25776616146899,1.570148034245894,-2.6740852725135125,-9.14610435869945,2
A/Sydney/8/2018,-1.962231568445507,-2.514083137005672,-6.2464892273421,9.287547533468933,3.5685649648495854,-0.9081343998833725,3.0461449435179393,1.2090854755321172,-5.313066361891937,-7.504925913843939,2
A/Sydney/20/2018,-2.287209607446924,-2.264745953105825,-8.710159423428026,10.072669086272782,1.2919528861509055,-0.725763320385799,5.788394975826283,-3.222277112018661,-5.477440349399831,-5.374747159278036,2
A/Newcastle/19/2018,-0.967755314321145,-2.582508194125102,-11.672657873446786,10.009164157173716,-0.25411466673875066,-0.8990239287264896,12.482881053931608,-5.769937807112306,-6.175286452936744,-4.306008261462988,2
A/Florida/101/2018,-1.4562776684209326,9.182175564517308,1.842034803542359,8.008878859771611,0.21326442683763527,-1.8462859835824856,3.175523828900351,1.4489559841058162,-3.833500944049182,-10.15579238099288,2
A/Victoria/2038/2018,-0.1699530126307752,-0.538988904699689,-13.627675423131706,9.077364150840836,-1.6531940365516715,-4.80278925314954,5.7004620623442674,-0.9464338645695806,-1.4373810524560555,-12.78314360447546,2
A/SouthAustralia/179/2018,-9.138988271027692,0.6923335469488402,-11.135480523639686,8.294558529994305,0.8805956654664145,-3.4681667197324,2.727651156635634,1.6737979795837648,-4.5009851067817275,-10.819244405514528,2
A/Brisbane/64/2018,-3.455546549495964,-3.462165716491233,-7.974507130344506,12.43879549351292,-0.6075719722822822,-10.165362410343695,3.7301362296005975,7.8711311616184965,-2.45704239157606,-19.966117944961958,2
A/NewYork/40/2018,-6.296003964053044,-3.11583971181233,-5.536563176078312,14.841247611579332,7.655455321028199,-12.01626707055312,-2.784325640674709,9.198405416882364,-7.53435303788325,-16.186871792184647,2
A/NewHampshire/24/2018,-10.47446828617072,1.4166500279195973,-10.47848635434384,11.159558609344328,0.9537671715310099,2.5102863416777845,7.205523742383665,-3.9635808770433876,-11.431814805637748,-12.271231876582064,2
A/Makhachkala/84/2019,-5.047687535089827,2.2502002024076346,-18.256577346070134,1.0094992619000895,10.386266278686234,-4.366205757130219,3.6832673864637986,4.839236450871218,-11.563178367168836,-21.904330540660947,2
A/Vladimir/87/2019,-5.5672940308441765,2.193845075775536,-18.431988622506843,1.220919102613531,8.280429739448515,-3.051299667654861,5.604565258824426,4.7142950006351345,-12.010445040715366,-17.675402878661565,2
A/Minnesota/44/2019,-14.432586672889588,-1.8157059802797746,-17.901209453352575,5.974762413663302,7.623403261351235,-3.0253814957319882,0.566807815413012,10.891062896094445,-9.168411611758701,-15.089123512012456,2
A/SouthAustralia/153/2018,-7.450295087223344,-0.31587004428266174,-15.051401577820455,5.372517886945436,6.318291272918822,-5.670822053900139,0.9966695971837756,4.806153621038003,-7.062993577371583,-14.713050906329048,2
A/Townsville/23/2018,-4.151997980251492,4.7810783143781475,-10.069195996389176,21.550886086826893,-1.8521504812770702,-7.114531604609236,5.28792423522961,11.356519143960876,-1.0903567985199418,-10.463600917140047,2
A/SouthAustralia/174/2018,-10.956319191401839,-4.405027541472303,-12.514067056873259,23.85344218961004,-11.68384707093401,-2.4161435062238623,9.909613063014591,0.00464535276063139,-11.628784558119781,-5.994869353602657,2
A/Brisbane/115/2018,-8.966127077093283,-6.203647545919859,-3.005809850637292,12.542015482136133,4.136085349321905,-4.0286451417676385,1.1013705748026454,-1.1601930189598542,-7.436194365927431,-11.059743115268853,2
